campaign,ad_group,language,title_zh,title_en,landing_page,final_url,path_1,path_2,headline_1,headline_2,headline_3,description_1,description_2,valid
"configurator_configurator","configurator","zh","Comino Grando GPU 伺服器配置器","Comino Grando GPU Server Configurator","https://eudaemonia.tech/configurator/","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_content=zh_search_ad","configurator","quote","GPU伺服器報價","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_configurator","configurator","en","Comino Grando GPU 伺服器配置器","Comino Grando GPU Server Configurator","https://eudaemonia.tech/configurator/","https://eudaemonia.tech/configurator/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator&utm_content=en_search_ad","configurator","quote","Grando Configurator","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_solutions","solutions","zh","配置器解決方案總覽","Configurator Solutions Hub","https://eudaemonia.tech/solutions/","https://eudaemonia.tech/solutions/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_solutions&utm_content=zh_search_ad","configurator","quote","配置器解決方案","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_solutions","solutions","en","配置器解決方案總覽","Configurator Solutions Hub","https://eudaemonia.tech/solutions/","https://eudaemonia.tech/solutions/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_solutions&utm_content=en_search_ad","configurator","quote","Configurator Solutions","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_configurator_28","configurator-28","zh","GRANDO 機架式工作站 GPU 配置器","GRANDO Rackable Workstation GPU Configurator","https://eudaemonia.tech/configurator/28/","https://eudaemonia.tech/configurator/28/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator_28&utm_content=zh_search_ad","configurator","quote","AI工作站報價","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_configurator_28","configurator-28","en","GRANDO 機架式工作站 GPU 配置器","GRANDO Rackable Workstation GPU Configurator","https://eudaemonia.tech/configurator/28/","https://eudaemonia.tech/configurator/28/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator_28&utm_content=en_search_ad","configurator","quote","GRANDO Rack Workstation","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_configurator_29","configurator-29","zh","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","https://eudaemonia.tech/configurator/29/","https://eudaemonia.tech/configurator/29/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator_29&utm_content=zh_search_ad","configurator","quote","H200伺服器報價","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_configurator_29","configurator-29","en","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","https://eudaemonia.tech/configurator/29/","https://eudaemonia.tech/configurator/29/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_configurator_29&utm_content=en_search_ad","configurator","quote","H200 GPU Configurator","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_nvidia_h200_server","nvidia-h200-server","zh","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","https://eudaemonia.tech/solutions/nvidia-h200-server/","https://eudaemonia.tech/solutions/nvidia-h200-server/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_nvidia_h200_server&utm_content=zh_search_ad","configurator","quote","H200伺服器報價","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_nvidia_h200_server","nvidia-h200-server","en","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","https://eudaemonia.tech/solutions/nvidia-h200-server/","https://eudaemonia.tech/solutions/nvidia-h200-server/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_nvidia_h200_server&utm_content=en_search_ad","configurator","quote","H200 GPU Server Quote","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
